crime_count,MONTH,HOUR,DAY_OF_WEEK,percent_difference
97,5,22,Thursday,-0.52943899671097338882
48,5,22,Tuesday,-0.76714507053738889343
84,5,22,Wednesday,-0.59250387344043056351
91,5,23,Friday,-0.55854586289379977714
81,5,23,Monday,-0.60705730653184375767
141,5,23,Saturday,-0.31598864470357987447
117,5,23,Sunday,-0.43241610943488542775
50,5,23,Thursday,-0.75744278180978009733
58,5,23,Tuesday,-0.71863362689934491290
31,5,23,Wednesday,-0.84961452472206366034
106,6,0,Friday,-0.48577869743673380634
86,6,0,Monday,-0.58280158471282176740
169,6,0,Saturday,-0.18015660251705672897
240,6,0,Sunday,0.16427464731305553283
114,6,0,Thursday,-0.44696954252629862191
84,6,0,Tuesday,-0.59250387344043056351
72,6,0,Wednesday,-0.65071760580608334015
85,6,1,Friday,-0.58765272907662616546
44,6,1,Monday,-0.78654964799260648565
172,6,1,Saturday,-0.16560316942564353481
67,6,1,Sunday,-0.67497332762510533042
37,6,1,Thursday,-0.82050765853923727202
94,6,1,Tuesday,-0.54399242980238658298
29,6,1,Wednesday,-0.85931681344967245645
56,6,2,Friday,-0.72833591562695370901
64,6,2,Monday,-0.68952676071651852458
163,6,2,Saturday,-0.20926346869988311729
69,6,2,Sunday,-0.66527103889749653431
21,6,2,Thursday,-0.89812596836010764088
24,6,2,Tuesday,-0.88357253526869444672
54,6,2,Wednesday,-0.73803820435456250511
24,6,3,Friday,-0.88357253526869444672
57,6,3,Monday,-0.72348477126314931095
33,6,3,Saturday,-0.83991223599445486424
91,6,3,Sunday,-0.55854586289379977714
40,6,3,Thursday,-0.80595422544782407786
39,6,3,Tuesday,-0.81080536981162847592
18,6,3,Wednesday,-0.91267940145152083504
39,6,4,Friday,-0.81080536981162847592
19,6,4,Monday,-0.90782825708771643698
23,6,4,Saturday,-0.88842367963249884477
23,6,4,Sunday,-0.88842367963249884477
25,6,4,Thursday,-0.87872139090489004866
4,6,4,Tuesday,-0.98059542254478240779
61,6,5,Friday,-0.70408019380793171874
56,6,5,Monday,-0.72833591562695370901
21,6,5,Saturday,-0.89812596836010764088
21,6,5,Sunday,-0.89812596836010764088
4,6,5,Thursday,-0.98059542254478240779
35,6,5,Tuesday,-0.83020994726684606813
20,6,5,Wednesday,-0.90297711272391203893
20,6,6,Friday,-0.90297711272391203893
35,6,6,Monday,-0.83020994726684606813
38,6,6,Saturday,-0.81565651417543287397
25,6,6,Sunday,-0.87872139090489004866
7,6,6,Thursday,-0.96604198945336921363
22,6,6,Tuesday,-0.89327482399630324282
37,6,6,Wednesday,-0.82050765853923727202
46,6,7,Friday,-0.77684735926499768954
38,6,7,Monday,-0.81565651417543287397
4,6,7,Saturday,-0.98059542254478240779
2,6,7,Sunday,-0.99029771127239120389
19,6,7,Thursday,-0.90782825708771643698
41,6,7,Tuesday,-0.80110308108401967981
9,6,7,Wednesday,-0.95633970072576041752
110,6,8,Friday,-0.46637411998151621412
31,6,8,Monday,-0.84961452472206366034
